mlId,movieLabel,year,cast member,country of origin,director,producer,distributed by,film editor,screenwriter,composer
31030,I Remember Mama,1948.0,"Barbara O'Neil, Barbara Bel Geddes, Oskar Homolka, Philip Dorn, Ellen Corby, Florence Bates, Irene Dunne, Cedric Hardwicke, Edgar Bergen, Franklyn Farnum, Rudy Vallée, Edith Evanson, Stanley Andrews",United States of America,George Stevens,George Stevens,"RKO Pictures, Netflix",Robert Swink,"John Van Druten, DeWitt Bodeen",Roy Webb
3104,Midnight Run,1988.0,"Robert De Niro, Yaphet Kotto, Joe Pantoliano, Charles Grodin, Dennis Farina, Martin Brest, Philip Baker Hall, Lois Smith, Tom Irwin, Tracey Walter, John Ashton, Wendy Phillips, Jack Kehoe, John Ashton, Richard Foronjy, Fran Brill, Robert Miranda, Jimmie Ray Weeks",United States of America,Martin Brest,"Universal Pictures, Martin Brest","Universal Pictures, Netflix",Chris Lebenzon,George Gallo,Danny Elfman
3105,Awakenings,1990.0,"Robin Williams, Alice Drummond, Robert De Niro, Anne Meara, Penelope Ann Miller, Dexter Gordon, Mary Alice, Judith Malina, Julie Kavner, Vin Diesel, Max von Sydow, John Heard, Bradley Whitford, Peter Stormare, Richard Libertini, Vincent Pastore, George Martin, Ruth Nelson, Laura Esterman, Barton Heyman, Harvey Miller",United States of America,"Penny Marshall, Alain Cuniot","Lawrence Lasker, Walter F. Parkes","Columbia Pictures, Netflix",Battle Davis,"Oliver Sacks, Steven Zaillian, Alain Cuniot",Randy Newman
3106,Come See the Paradise,1990.0,"Dennis Quaid, Tamlyn Tomita, Michael York, Colm Meaney, Sab Shimono, Pruitt Taylor Vince, Becky Ann Baker, Shizuko Hoshi, Gregory Hatanaka",United States of America,Alan Parker,Robert F. Colesberry,"20th Century Studios, Netflix",Gerry Hambling,Alan Parker,Randy Edelman
3107,Backdraft,1991.0,"Robert De Niro, Kurt Russell, Donald Sutherland, Scott Glenn, Jennifer Jason Leigh, Rebecca De Mornay, William Baldwin, Clint Howard, Jason Gedrick, J. T. Walsh, Irma P. Hall, Jack McGee, W. Earl Brown",United States of America,Ron Howard,"Brian Grazer, Raffaella De Laurentiis, Todd Hallowell","Universal Pictures, Netflix",Daniel P. Hanley,Gregory Widen,Hans Zimmer
3108,The Fisher King,1991.0,"Jeff Bridges, Robin Williams, Mercedes Ruehl, Tom Waits, Kathy Najimy, Amanda Plummer, Michael Jeter, Harry Shearer, Richard LaGravenese, David Hyde Pierce, Melinda Culea, John de Lancie, Ted Ross, Stephen Bridgewater, Bradley Gregg, Jack Mulcahy, Jayce Bartok, Dan Futterman, Edgar M. Böhlke, Christian Clemenson, John Heffernan, Mark Bowden, Lou Hancock, Carlos Carrasco",United States of America,Terry Gilliam,"Debra Hill, Lynda Obst","Netflix, InterCom, Vudu",Lesley Walker,Richard LaGravenese,George Fenton
31083,Man Trouble,1992.0,"Jack Nicholson, David Clennon, Ellen Barkin, Beverly D'Angelo, Paul Mazursky, John Kapelos, Lauren Tom, Veronica Cartwright, Harry Dean Stanton, Raymond Cruz, Saul Rubinek, Rebecca Broussard, Viveka Davis, David St. James, Michael McKean, Gary Graham, Mary Pat Gleason","United States of America, Italy",Bob Rafelson,"Carole Eastman, Vittorio Cecchi Gori, Bruce Gilbert","20th Century Studios, Netflix",William Steinkamp,Carole Eastman,Georges Delerue
3111,Places in the Heart,1984.0,"Sally Field, Amy Madigan, Danny Glover, John Malkovich, Lindsay Crouse, Terry O'Quinn, Ed Harris, Bert Remsen, Jerry Haynes, Toni Hudson, De'voreaux White, Ray Baker, Lane Smith, J. C. Quinn, Trey Wilson, Gennie James, Lou Hancock",United States of America,Robert Benton,Arlene Donovan,"Netflix, TriStar Pictures",Carol Littleton,Robert Benton,John Kander
31114,Imaginary Heroes,2004.0,"Michelle Williams, Jeff Daniels, Sigourney Weaver, Emile Hirsch, Kip Pardue, Ryan Donowho",United States of America,Dan Harris,"Frank Hübner, Art Linson, Illana Diamant","Netflix, Sony Pictures Classics",James Lyons,Dan Harris,Deborah Lurie
31116,Sergeant York,1941.0,"Carl Esmond, George Tobias, George Irving, Gary Cooper, Margaret Wycherly, Joe Sawyer, Gig Young, Joan Leslie, Charles Middleton, Victor Kilian, Frank Faylen, Walter Brennan, June Lockhart, Dickie Moore, Ward Bond, Charles Drake, Frank Wilcox, Tully Marshall, Charles Trowbridge, Selmer Jackson, Howard Da Silva, Jack Pennick, Elisha Cook Jr., Harvey Stephens, Noah Beery Jr., Jack Mower, Joseph W. Girard, Pat Flaherty, Russell Hicks, Clem Bevans, Creighton Hale, Lane Chandler, Erville Alderson, John Dilson, Edward Keane, Douglas Wood, Stanley Ridges, Theodore von Eltz, William Forrest, David Bruce, Eddy Waller, Frank Marlowe, Guy Wilkerson, Walter Sande, Frank McGlynn, Sr., James Anderson, Jean Del Val",United States of America,Howard Hawks,Jesse Louis Lasky,"Warner Bros., Netflix",William Holmes,"John Huston, Abem Finkel, Howard Koch, Harry Chandlee",Max Steiner
3113,End of Days,1999.0,"Arnold Schwarzenegger, James Coburn, Matthew Broderick, Udo Kier, Miriam Margolyes, CCH Pounder, Robin Tunney, Renee Olstead, Rod Steiger, Gabriel Byrne, Kevin Pollak, Gary Anthony Williams, Marc Lawrence, Mark Margolis, Sven-Ole Thorsen, Richard Riehle, Derrick O'Connor, Robert Lesser, Victor Varnado",United States of America,Peter Hyams,"Arnold Schwarzenegger, Peter Hyams, Armyan Bernstein, Marc Abraham, William Borden, Thomas Bliss","Netflix, Universal Pictures",Steven Kemper,Andrew W. Marlowe,John Debney
31148,Day of the Wacko,2002.0,"Cezary Pazura, Piotr Fronczewski, Dorota Chotecka, Bożena Dykiel, Anna Przybylska, Andrzej Grabowski, Marek Kondrat, Katarzyna Zielińska, Henryk Gołębiewski, Piotr Machalica, Ewa Ziętek, Janina Traczykówna, Jan Jurewicz, Ilona Ostrowska, Violetta Arlak, Katarzyna Ankudowicz, Monika Jarosińska, Patrycja Soliman, Tomasz Sapryk, Zofia Merle, Elżbieta Jarosik, Tomasz Sobczak, Violetta Kołakowska, Aleksander Bednarz, Andrzej Mastalerz, Anna Powierza, Anna Wojton, Cezary Żak, Joanna Kurowska, Joanna Sienkiewicz, Krystyna Czubówna, Krystyna Tkacz, Maria Ciunelis, Małgorzata Werner, Michał Koterski, Monika Donner-Trelińska, Piotr Grabowski, Zbigniew Buczkowski, Zdzisław Rychter",Poland,Marek Koterski,Juliusz Machulski,"Netflix, Vision",Ewa Smal,Marek Koterski,Jerzy Satanowski
3115,Flawless,1999.0,"Robert De Niro, Chris Bauer, Barry Miller, Philip Seymour Hoffman, Wilson Jermaine Heredia, Jude Ciccolella, Karina Arroyave, Rory Cochrane, Vincent Laresca, Mark Margolis, Skipp Sudduth, John Enos III, Madhur Jaffrey, Daphne Rubin-Vega, Nashom Wooden",United States of America,Joel Schumacher,"Robert De Niro, Joel Schumacher, Jane Rosenthal","Metro-Goldwyn-Mayer, Netflix",Mark Stevens,Joel Schumacher,Bruce Roberts
31152,L'armata Brancaleone,1966.0,"Vittorio Gassman, Stefania Sandrelli, Barbara Steele, Maria Grazia Buccella, Gian Maria Volonté, Catherine Spaak, Folco Lulli, Enrico Maria Salerno, Carlo Pisacane, Fulvia Franco, Alfio Caltabiano, Tito García, Ugo Fangareggi, Joaquín Díaz González, Pippo Starnazza",Italy,Mario Monicelli,Mario Cecchi Gori,Titanus,Ruggero Mastroianni,"Mario Monicelli, Furio Scarpelli, Agenore Incrocci, Age & Scarpelli",Carlo Rustichelli
3117,Ride with the Devil,1999.0,"Mark Ruffalo, Zach Grenier, Tom Wilkinson, Jim Caviezel, Tobey Maguire, Don Shanks, Jewel, Simon Baker, Jonathan Brandis, Jonathan Rhys Meyers, Margo Martindale, Jeffrey Wright, Celia Weston, David Rees Snell, Skeet Ulrich, John Ales, Tom Guiry, James Urbaniak, John Durbin, Matthew Faber",United States of America,Ang Lee,"Ted Hope, James Schamus, Robert F. Colesberry","Universal Pictures, Netflix",Tim Squyres,James Schamus,Mychael Danna
3118,Tumbleweeds,1999.0,"Kimberly J. Brown, Laurel Holloman, Jennifer Paige, Lois Smith, Janet McTeer, Joel Polis, Noah Emmerich, Cody McMains, Michael J. Pollard, Jay O. Sanders, Gavin O'Connor",United States of America,Gavin O'Connor,Greg O'Connor,"Netflix, Fine Line Features",John Gilroy,Gavin O'Connor,David Mansfield
31188,The Milky Way,1969.0,"Paul Frankeur, Michel Piccoli, Édith Scob, Luis Buñuel, Alain Cuny, Claudio Brook, Julien Bertheau, François Maistre, Michel Creton, Delphine Seyrig, Bernard Verley, Béatrice Costantini, Christine Simon, Claudine Berg, Denis Manuel, Jean-Claude Carrière, Georges Marchal, Daniel Pilon, Marcel Pérès, Laurent Terzieff, Pierre Maguelon, Claude Cerval, Agnès Capri, Julien Guiomar, Bernard Musson, Raoul Delfosse, Stéphane Bouy, Pierre Clémenti, Ellen Bahl, Michel Etcheverry, Gabriel Gobin, Georges Douking, Jacques Rispal, Jean-Louis Broust, Jean Clarieux, Jean Piat, Marius Laurey, Marguerite Muni, Paul Pavel, Pierre Lary, Rita Maiden","Italy, France, Germany",Luis Buñuel,Serge Silberman,Netflix,Louisette Hautecoeur,"Luis Buñuel, Jean-Claude Carrière",Luis Buñuel
312,Stuart Saves His Family,1995.0,"Laura San Giacomo, Shirley Knight, Julia Sweeney, Al Franken, Vincent D'Onofrio, Michelle Horn, Phil Hartman, Ted Raimi, Aloma Wright, Kevin Michael Richardson, Kurt Fuller, Mike Hagerty, Joe Flaherty, Allen Garfield, Lewis Arquette, Harris Yulin, Gerrit Graham, Dakin Matthews, Robert Curtis Brown, Richard Riehle, Aaron Lustig, Camille Saviola, Cory Milano, Jeffrey Joseph, Michael Haley, Pamela Brull, Robin Duke, Lesley Boone, Marjorie Lovett",United States of America,Harold Ramis,Lorne Michaels,Paramount Pictures,Pembroke J. Herring,Al Franken,Marc Shaiman
3121,The Hitch-Hiker,1953.0,"Edmond O'Brien, Frank Lovejoy, José Torvay, Natividad Vacío, Jean Del Val, Nacho Galindo, Wade Crosby, William Talman",United States of America,Ida Lupino,Collier Young,"RKO Pictures, Netflix",Douglas Stewart,"Ida Lupino, Daniel Mainwaring, Robert L. Joseph",Leith Stevens
3122,Santa Fe Trail,1940.0,"Ronald Reagan, Errol Flynn, Olivia de Havilland, Susan Peters, Van Heflin, Addison Richards, William Marshall, Joe Sawyer, Henry O'Neill, Raymond Massey, Gene Reynolds, Charles Middleton, David Bruce, Russell Simpson, Roy Barcroft, Ward Bond, Frank Wilcox, Selmer Jackson, Creighton Hale, Nestor Paiva, Alan Baxter, Lane Chandler, Moroni Olsen, Alan Hale, Erville Alderson, Guinn ""Big Boy"" Williams, Jack Mower, John Litel, Hobart Cavanaugh, Charles D. Brown, William Lundigan, Trevor Bardette, Edmund Cobb, Ernest Whitman, Lafe McKee, Russell Hicks, Spencer Charters, Theresa Harris, William Marshall, Edward Peil, David Bruce, Edmund Mortimer, Eddy Chandler, Eddy Waller, Edward Hearn, Emmett Vogan, Frank Mills",United States of America,Michael Curtiz,Hal B. Wallis,"Warner Bros., Netflix",George Amy,"Ronald Reagan, Errol Flynn, Olivia de Havilland, Raymond Massey, Robert Buckner",Max Steiner
31221,Elektra,2005.0,"Terence Stamp, Jennifer Garner, Natassia Malthe, Kirsten Prout, Jason Isaacs, Goran Višnjić, Cary-Hiroyuki Tagawa, Bob Sapp, Colin Alexander Cunningham, Ben Affleck, Will Yun Lee, Hiro Kanagawa",United States of America,Rob Bowman,"Avi Arad, Arnon Milchan","InterCom, Netflix",Kevin Stitt,"Zak Penn, Frank Miller, Mark Steven Johnson",Christophe Beck
31225,Coach Carter,2005.0,"Ashanti, Samuel L. Jackson, Channing Tatum, Octavia Spencer, Dana Davis, Robert Hoffman, Debbi Morgan, Antwon Tanner, Rob Brown, Carlos Moreno Jr., Marc McClure, Vincent Laresca, Texas Battle, Jenny Gago, Rick Gonzalez, Adrienne Bailon, Robert Ri'chard, Carl Gilliard, Bob Costas, Denise Dowse, Ben Weber, Mel Winkler, Paul Rae, Sonya Eddy, Andy Umberger, Cindy Chiu, Don Le, Nana Gbewonyo, Ray Baker, Roger Lim, Shorty Mack, Sylva Kelegian, Tanee McCall, Deena Dill",United States of America,Thomas Carter,"Brian Robbins, Michael Tollin","Paramount Pictures, Netflix",Peter E. Berger,"Mark Schwahn, John Gatins",Trevor Rabin
31247,The Fighting Sullivans,1944.0,"Mae Marsh, Anne Baxter, Addison Richards, John Campbell, Thomas Mitchell, Selena Royle, Ward Bond, Bobby Driscoll, Steve Barclay, Frank Wilcox, Selmer Jackson, John Alvin, Harry Shannon, George Lynn, Bert Moorhouse, Grandon Rhodes, John Nesbitt, Roy Roberts, Trudy Marshall",United States of America,Lloyd Bacon,Sam Jaffe,20th Century Studios,Louis R. Loeffler,Eddie Doherty,Cyril J. Mockridge
3125,The End of the Affair,1999.0,"Ralph Fiennes, Jason Isaacs, Julianne Moore, Stephen Rea, Ian Hart, Cyril Shaps, Simon Fisher Turner, Deborah Findlay, Jack McKenzie, Penny Morrell, James Bolam","United States of America, United Kingdom",Neil Jordan,"Neil Jordan, Stephen Woolley",Columbia Pictures,Tony Lawson,Neil Jordan,Michael Nyman
31251,Iceman,1984.0,"John Lone, Josef Sommer, Timothy Hutton, David Strathairn, Lindsay Crouse",United States of America,Fred Schepisi,Norman Jewison,"Universal Pictures, Netflix",Billy Weber,John Drimmer,Bruce Smeaton
31255,Ice Station Zebra,1968.0,"Ron Masak, Gerald S. O'Loughlin, Joseph Bernard, Ted Hartley, Lee Stanley, Ernest Borgnine, Rock Hudson, Lloyd Nolan, Patrick McGoohan, Jim Brown, Murray Rose, Alf Kjellin, Tony Bill",United States of America,John Sturges,"Martin Ransohoff, John Calley","Metro-Goldwyn-Mayer, Netflix",Ferris Webster,"Alistair MacLean, W. R. Burnett, Douglas Heyes",Michel Legrand
3126,The End of the Affair,1955.0,"Deborah Kerr, Nora Swinburne, John Mills, Van Johnson, Peter Cushing, Michael Goodliffe, Stephen Murray, Joyce Carey, Charles Goldner","United States of America, United Kingdom",Edward Dmytryk,David Lewis,"Columbia Pictures, Netflix",Alan Osbiston,Graham Greene,Benjamin Frankel
31260,Boys Town,1938.0,"Spencer Tracy, Mickey Rooney, John Wray, Claire McDowell, Gene Reynolds, Leslie Fenton, Minor Watson, Addison Richards, Tommy Noonan, Bobs Watson, King Baggot, Edward Norris, Barbara Bedford, George Cooper, Jay Novello, John Hamilton, William Worthington, Edward Hearn, Everett Brown, Frankie Thomas, Jonathan Hale, Henry Hull, Kane Richmond, Sidney Miller",United States of America,Norman Taurog,John W. Considine Jr.,"Metro-Goldwyn-Mayer, Netflix",Elmo Veron,"Dore Schary, Eleanore Griffin, John Meehan",Edward Ward
31263,Torremolinos 73,2003.0,"Ramón Barea, Candela Peña, Mariví Bilbao, Malena Alterio, Mads Mikkelsen, Nuria González, Carmen Machi, Ana Wagener, Diego Paris, Javier Cámara, Fernando Tejero, Tina Sainz, Juan Diego, Thomas Bo Larsen, Mari-Anne Jespersen, Tom Jacobsen, Carmen Belloch, Baard Owe, Bjarne Henriksen, Germán Montaner, Jaime Blanch, Mariano Peña, Juan Manuel Cotelo, Miguel Alcíbar, Máximo Valverde","Denmark, Spain",Pablo Berger,Pablo Berger,Netflix,Rosario Sáinz de Rozas,Pablo Berger,Nacho Mastretta
3127,Holy Smoke!,1999.0,"Harvey Keitel, Saïd Taghmaoui, Pam Grier, Sophie Lee, Kate Winslet, Luke Testa, Genevieve Lemon, Paul Goddard, Daniel Wyllie","United States of America, Australia",Jane Campion,Jan Chapman,"Miramax, Netflix",Veronika Jenet,Jane Campion,Angelo Badalamenti
31270,Shivers,1975.0,"Barbara Steele, Fred Döderlein, Joan Blackman, Lynn Lowry, Paul Hampton",Canada,David Cronenberg,Ivan Reitman,"Netflix, Lionsgate Films",Patrick Dodd,David Cronenberg,Fred Mollin
3128,A Map of the World,1999.0,"Julianne Moore, Sigourney Weaver, Chloë Sevigny, David Strathairn, Arliss Howard, Marc Donato",United States of America,Scott Elliott,Frank Marshall,"Netflix, Focus Features",Naomi Geraghty,"Polly Platt, Peter Hedges",Pat Metheny
31284,A Star Is Born,1976.0,"Barbra Streisand, Kris Kristofferson, Rita Coolidge, Gary Busey, Bill Graham, Joanne Linville, Robert Englund, Tony Orlando, Maidie Norman",United States of America,Frank Pierson,"Barbra Streisand, Jon Peters","Warner Bros., Netflix",Peter Zinner,"Joan Didion, William A. Wellman, Alvin Sargent, John Gregory Dunne, Jay Presson Allen",Rupert Holmes
3129,Sweet and Lowdown,1999.0,"Woody Allen, Chris Bauer, Uma Thurman, Molly Price, Denis O'Hare, Sean Penn, Samantha Morton, Gretchen Mol, Joseph Rigano, Brian Markinson, Nat Hentoff, Brad Garrett, Douglas McGrath, Kellie Overbey, Anthony LaPaglia, John Waters, James Urbaniak, Ron Cephas Jones, Constance Shulman, Tony Darrow",United States of America,Woody Allen,Jean Doumanian,"Netflix, Sony Pictures Classics",Alisa Lepselter,Woody Allen,Dick Hyman
31297,Gold Diggers of 1935,1935.0,"Frank McHugh, Gloria Stuart, Alice Brady, Glenda Farrell, Dick Powell, Adolphe Menjou, Wini Shaw, Hugh Herbert, Nora Cecil, Grant Mitchell, Joseph Cawthorn, Dorothy Dare, Sam McDaniel",United States of America,Busby Berkeley,Robert Lord,"Warner Bros., Netflix, Vudu",George Amy,Robert Lord,Harry Warren
3130,The Bonfire of the Vanities,1990.0,"Kirsten Dunst, Bruce Willis, Tom Hanks, F. Murray Abraham, Kim Cattrall, Beth Broderick, Morgan Freeman, Melanie Griffith, Rita Wilson, Richard Belzer, Alan King, Kevin Dunn, Kurt Fuller, Clifton James, Robert Stephens, Donald Moffat, Saul Rubinek, Camryn Manheim, Terry Farrell, Mary Alice, Novella Nelson, Patrick Malone, Connie Sawyer, Barton Heyman, Sam Jenkins, Adam LeFevre, Troy Winbush, Andre Gregory, Richard Libertini, George Plimpton, John Hancock, Don McManus",United States of America,Brian De Palma,Brian De Palma,"Netflix, InterCom","David Ray, Bill Pankow",Michael Cristofer,Dave Grusin
31309,Rocco and His Brothers,1960.0,"Claudia Cardinale, Claudia Mori, Annie Girardot, Alain Delon, Katina Paxinou, Adriana Asti, Alessandra Panaro, Suzy Delair, Franca Valeri, Roger Hanin, Nino Castelnuovo, Max Cartier, Renato Salvatori, Renato Terra, Paolo Stoppa, Enzo Fiermonte, Corrado Pani, Eduardo Passarelli, Spiros Focás, Rosario Borelli","Italy, France",Luchino Visconti,Goffredo Lombardo,"Netflix, Astor Pictures, Vudu",Mario Serandrei,"Luchino Visconti, Enrico Medioli, Suso Cecchi d'Amico, Vasco Pratolini, Massimo Franciosa, Pasquale Festa Campanile",Nino Rota
31337,The Mortal Storm,1940.0,"Robert Young, Tom Drake, Ward Bond, Bert Roach, Gene Reynolds, William Edmunds, Rudolph Anders, Esther Dale, Russell Hicks, Granville Bates, James Stewart, Robert Stack, Frank Morgan, Margaret Sullavan, Maria Ouspenskaya, Bonita Granville, Irene Rich",United States of America,Frank Borzage,"Frank Borzage, Victor Saville",Metro-Goldwyn-Mayer,Elmo Veron,"Hans Rameau, George Froeschel, Claudine West",Bronisław Kaper
3134,La Grande Illusion,1937.0,"Jacques Becker, Dita Parlo, Jean Gabin, Erich von Stroheim, Pierre Fresnay, Gaston Modot, Jean Dasté, Georges Péclet, Claude Vernier, Marcel Dalio, Julien Carette",France,Jean Renoir,"Albert Pinkovitch, Frank Rollmer","Netflix, The Criterion Collection","Marguerite Renoir, Renée Lichtig","Jean Renoir, Charles Spaak",Joseph Kosma
31340,Once Upon a Honeymoon,1942.0,"Adolf Hitler, Albert Bassermann, Cary Grant, Ginger Rogers, Walter Slezak, John Banner, Hans Heinrich von Twardowski, George Irving, Fred Niblo, Henry Victor, Bess Flowers, Hans Schumm, Walter Byron, Rudolf Steinboeck, Steven Geray, Hans Conried, William von Brincken, Bert Roach, Dell Henderson, Emory Parnell, Harry Shannon, Natasha Lytess, Albert Dekker, Rudolf Myzet, Ferike Boros, Otto Reichow, Fred Aldrich",United States of America,Leo McCarey,Leo McCarey,Universal Pictures,Theron Warth,"Leo McCarey, Sheridan Gibney",Robert E. Dolan
31347,Christmas in July,1940.0,"Raymond Walburn, Ellen Drew, Dick Powell, Julius Tannen, Ernest Truex, Rod Cameron, William Demarest, Franklin Pangborn, Georgia Caine, Fred Toones, Harry Hayden, Jimmy Conlin, Ferike Boros, Torben Meyer",United States of America,Preston Sturges,Paul Jones,"Paramount Pictures, Netflix",Ellsworth Hoagland,Preston Sturges,John Leipold
31349,I Married a Witch,1942.0,"Veronica Lake, Fredric March, Emma Dunn, Elizabeth Patterson, Susan Hayward, Blossom Rock, Billy Bevan, Robert Warwick, Bess Flowers, Cyril Ring, Cecil Kellaway, Franklyn Farnum, Chester Conklin, Dan White, Robert Benchley, Nora Cecil, Frank Mills, Monte Blue, James Millican, Mary Field, Robert Greig, Wade Boteler, Eily Malyon, Emory Parnell, Peter Leeds, Brooks Benedict, Edmund Mortimer, Eddy Chandler, Esther Howard",United States of America,René Clair,"René Clair, United Artists Corporation","United Artists Corporation, HBO Max",Eda Warren,"René Clair, Dalton Trumbo, Marc Connelly, Robert Pirosh",Roy Webb
31364,Memories of Murder,2003.0,"Song Kang-ho, Kim Sang-kyung, Park Hae-il, Byeon Hee-bong, Kim Roe-ha, Ko Seo-hui, Kwon Byeong-gil, Lee Jae-eung, Jung In-sun, Jeon Mi-seon, Oh Yong",South Korea,Bong Joon-ho,Cha Seung-jae,CJ Entertainment,Kim Seon-min,Bong Joon-ho,Taro Iwashiro
3137,The Sea Wolves,1980.0,"Dan van Husen, Gregory Peck, Wolf Kahler, Patrick Allen, Roger Moore, Martin Benson, Robert Hoffmann, David Niven, Bernard Archard, Trevor Howard, Faith Brook, Barbara Kellerman, Mohan Agashe, Patrick Macnee, Percy Herbert, Jack Watson, Kenneth Griffith, John Standing, Graham Stark, W. Morgan Sheppard, Donald Houston, Michael Medwin, Allan Cuthbertson, Terence Longdon, George Mikell, Patrick Holt","United States of America, Switzerland, United Kingdom",Andrew V. McLaglen,Euan Lloyd,"Paramount Pictures, Netflix",John Glen,Reginald Rose,Roy Budd
31374,Hobson's Choice,1954.0,"Charles Laughton, John Laurie, Richard Wattis, Brenda De Banzie, John Mills, Prunella Scales, Raymond Huntley, Helen Haye, Shirley Stelfox",United Kingdom,David Lean,David Lean,"Netflix, British Lion Films",Peter Taylor,"David Lean, Norman Spencer, Wynyard Browne",Malcolm Arnold
3138,Stealing Home,1988.0,"Jodie Foster, John Shea, Beth Broderick, Blair Brown, Mark Harmon, Richard Jenkins, Helen Hunt, William McNamara, Miriam Flynn, Ted Ross, Jonathan Silverman, Harold Ramis, Christine Jones Forman, Jane Brucker",United States of America,"William Porter, Steven Kampmann","Warner Bros., Thom Mount, Hank Moonjean","Warner Bros., Netflix",Antony Gibbs,William Porter,David Foster
31408,Summer Storm,2004.0,"Hanno Koffler, Tristano Casanova, Kostja Ullmann, Ludwig Blochberger, Miriam Morgenstern, Marlon Kittel, Jürgen Tonkel, Alicja Bachleda-Curuś, Robert Stadlober",Germany,Marco Kreuzpaintner,Jakob Claussen,Netflix,Hansjörg Weißbrich,"Marco Kreuzpaintner, Thomas Bahmann",Niki Reiser
3141,The Two Jakes,1990.0,"Jack Nicholson, Eli Wallach, Tom Waits, Harvey Keitel, Madeleine Stowe, Meg Tilly, David Keith, Van Dyke Parks, James Hong, Richard Farnsworth, Faye Dunaway, Perry Lopez, Frederic Forrest, Rubén Blades, Joe Mantell, Luana Anders, Tracey Walter, Randi Ingerman",United States of America,Jack Nicholson,"Harold K. Schneider, Robert Evans","Paramount Pictures, Netflix",Anne Goursaud,Robert Towne,Van Dyke Parks
31410,Downfall,2004.0,"Thomas Kretschmann, Ulrich Matthes, André Hennicke, Matthias Habich, Julia Jentsch, Christian Berkel, Götz Otto, Juliane Köhler, Devid Striesow, Alexander Held, August Schmölzer, Michael Mendl, Anna Thalbach, Bettina Redlich, Heino Ferch, Alexandra Maria Lara, Corinna Harfouch, Justus von Dohnányi, Rolf Kanies, Heinrich Schmieder, Thomas Thieme, Birgit Minichmayr, Elizaveta Boyarskaya, Ulrich Noethen, Dieter Mann, Christian Redl, Karl Kranzkowski, Fabian Busch, Michael Kind, Jürgen Tonkel, Oleg Popov, Oliver Stritzel, Aline Sokar, Bruno Ganz, Christian Redl, Christian Schmidt, Dietrich Hollinderbäumer, Christian Hoening, Dirk Borchardt, Elisabeth Koch, Enno Hesse, Norbert Heckner, Mathias Gnädinger, Henning Peker, Martin Butzke, Gregory Borlein, Klaus-Jürgen Steinmann, Thorsten Krohn, Klaus B. Wolf, Charlotte Stoiber, Donevan Gunia, Igor Romanov, Igor Bubenchikov, Silke Nikowski, Leopold von Buttlar, Boris Schwarzmann, Vsevolod Tsurilo, Vasily Reutov, Julia Bauer, Laura Borlein, Michael Brandner, Tanja Schleiff, Thomas Limpinsel, Hans H. Steinberg, Ulrike Krumbiegel, Veit Stübner, Alexander Slastin, Yelena Dreyden, Helga Filippova, Amelie Menges","Austria, Italy, Germany",Oliver Hirschbiegel,Bernd Eichinger,Constantin Film,Hans Funck,Bernd Eichinger,Stephan Zacharias
31420,Assault on Precinct 13,2005.0,"Laurence Fishburne, Drea de Matteo, Gabriel Byrne, John Leguizamo, Ja Rule, Brian Dennehy, Maria Bello, Titus Welliver, Ethan Hawke, Currie Graham, Aisha Hinds, Hugh Dillon, Dorian Harewood, Fulvio Cecere, Kim Coates, Matt Craven","France, United States of America",Jean-François Richet,Pascal Caucheteux,"Netflix, Rogue",Bill Pankow,John Carpenter,Graeme Revell
31429,Aliens of the Deep,2005.0,"James Cameron, Anatoly Sagalevich",United States of America,"James Cameron, Steven Quale","James Cameron, Andrew Wight","Netflix, Walt Disney Studios Motion Pictures, Disney+","Ed W. Marsh, Fiona Wight, Matthew Kregor",James Cameron,Jeehun Hwang
3143,Hell in the Pacific,1968.0,"Lee Marvin, Toshirō Mifune",United States of America,John Boorman,Henry G. Saperstein,"Cinerama Releasing Corporation, Netflix",Thomas Stanford,"Eric Bercovici, Alex Jacobs",Lalo Schifrin
31437,Nobody Knows,2004.0,"Susumu Terajima, Kenichi Endō, Yūya Yagira, Ryō Kase, Yukiko Okamoto, Sei Hiraizumi, You",Japan,Hirokazu Koreeda,Hirokazu Koreeda,Netflix,Hirokazu Koreeda,Hirokazu Koreeda,Gontiti
3145,Cradle Will Rock,1999.0,"Bill Murray, John Cusack, Tim Robbins, Emily Watson, Chris Bauer, Barbara Sukowa, Sarah Hyland, Audra Mcdonald, Susan Sarandon, Joan Cusack, Carrie Preston, Michelle Rodriguez, Lynn Cohen, Paul Giamatti, Hank Azaria, Cherry Jones, Cary Elwes, Peter Jacobson, Vanessa Redgrave, John Turturro, Angus Macfadyen, Gretchen Mol, Jack Black, Kyle Gass, Jamey Sheridan, Philip Baker Hall, Dominic Chianese, Tony Amendola, Harris Yulin, Karen Lynn Gorney, Ned Bellamy, Leonardo Cimino, David Costabile, Scott Sowers, Bob Balaban, Rubén Blades, Allan F. Nicholls, Stephen Spinella, Barnard Hughes",United States of America,Tim Robbins,Tim Robbins,"Walt Disney Studios Motion Pictures, Netflix",Geraldine Peroni,Tim Robbins,Dave Robbins
